city,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020
Los Angeles,470000,480000,494500,494000,506500,505000,510000,499000,498572,495833,510000,500000,500000,518000,530000,540000,540000,540000,545000,535000,540000,545000,535000,540000,540000,555000,560000,577000,585000,589000,590000,589000,577000,588000,585000,575000,595000,601000,610000,630000,631500,627000,627500,615000,612250,622000,600000,591000,600000,620000,625500,625000,635000,650000,635000,640000,640000,639000,649000,635000,635000,660000,650000,635000,655000,700000,710000,730000,735000,718000,730000
Sacramento,310000,305000,315000,325000,325000,319000,317500,315000,316607,321450,320000,315000,320000,332000,337000,349788,355000,348000,350000,350000,349000,349750,340000,332750,341000,352250,360000,378500,381000,380000,380000,377500,380000,380000,375000,370100,380000,394000,399300,409000,410000,405000,399085,400000,394000,392950,395000,376000,390000,400000,410000,420000,420000,420000,420000,417500,410199,415000,415000,405000,420000,430000,430000,429000,445000,465000,468000,470950,479000,474000,475000
San Diego,442000,460000,460000,469000,480000,480000,470000,464250,462500,473000,470000,475000,465000,485000,499000,500000,500000,500000,500000,502000,516500,495000,505000,510000,500000,520000,530000,539500,553750,544000,549000,545000,540000,550000,545000,535000,545000,560000,575000,575000,580000,587000,585000,580710,560000,560000,565000,554000,560000,565000,580000,585000,600000,585000,590000,575000,590000,600000,581000,599900,600000,599000,610000,598053,609000,641750,653500,662000,660000,660000,660000
San Francisco,1050000,1100000,1115000,1195000,1139000,1145000,1112500,1087500,1148000,1149000,1080000,1050000,1107500,1100000,1205000,1214000,1200000,1185000,1150000,1120500,1222500,1141500,1146000,1050000,1210000,1200000,1275000,1300000,1285000,1262500,1250000,1230000,1291500,1325000,1325000,1300000,1377500,1400000,1429500,1417500,1415000,1400000,1375000,1402500,1400000,1325000,1340000,1210000,1272000,1400000,1425000,1500000,1438000,1407000,1375000,1360000,1400000,1362500,1308000,1300000,1390000,1450000,1400000,1500000,1549000,1450000,1512500,1450000,1417500,1400000,1350000
